"","POLINTR","STFLIFE","FREEHMS","IMUECLT","HAPPY","INPRDSC","ALCWKND","WRHPP","FLTSD","AGEA","CHLDHM","WKHTOT","happ","stflif","polint","imuecl"
"128",2,8,2,7,8,4,54,4,1,51,2,50,1,1,1,1
"129",3,6,1,6,8,1,0,3,1,67,2,38,1,0,0,1
"130",2,9,1,9,9,4,48,3,2,46,1,45,1,1,1,1
"131",3,10,1,3,10,4,208,4,1,25,2,65,1,1,0,0
"132",1,8,1,8,9,1,0,4,2,37,2,38,1,1,1,1
"133",3,10,2,9,10,4,12,3,2,42,1,20,1,1,0,1
"134",2,9,2,4,7,5,86,3,1,17,2,11,0,1,1,0
"135",2,8,1,9,8,4,0,3,1,16,2,0,1,1,1,1
"136",3,5,1,5,4,6,377,2,2,25,2,10,0,0,0,0
"137",2,8,1,7,8,3,167,3,1,39,1,40,1,1,1,1
"138",2,8,1,7,8,4,19,3,1,43,1,38,1,1,1,1
"139",3,5,3,3,4,4,75,2,1,59,2,40,0,0,0,0
"140",3,9,1,7,10,4,0,4,1,49,1,45,1,1,0,1
"141",2,6,2,6,8,2,31,3,2,86,2,38,1,0,1,1
"142",3,10,1,9,10,4,0,4,1,22,2,34,1,1,0,1
"143",3,10,1,8,10,3,49,4,1,64,2,35,1,1,0,1
"144",3,7,1,7,7,2,0,3,1,30,2,38,0,1,0,1
"145",2,6,2,1,7,5,10,3,1,20,2,0,0,0,1,0
"146",2,10,2,5,9,1,115,3,1,82,2,6,1,1,1,0
"147",2,10,2,7,10,4,0,3,1,17,2,9,1,1,1,1
"148",2,10,1,8,10,5,36,4,1,57,1,13,1,1,1,1
"149",1,9,1,7,9,4,98,3,1,40,1,38,1,1,1,1
"150",3,10,3,7,10,4,52,1,1,68,2,50,1,1,0,1
"151",3,8,1,8,7,4,12,3,2,48,1,44,0,1,0,1
"152",2,7,3,8,7,1,30,3,1,75,2,5,0,1,1,1
"153",3,8,1,6,9,3,0,3,1,15,2,0,1,1,0,1
"154",3,10,1,7,10,4,136,4,1,22,2,50,1,1,0,1
"155",3,9,2,1,10,6,25,3,1,42,1,38,1,1,0,0
"156",2,8,1,7,9,4,35,3,1,30,1,45,1,1,1,1
"157",2,10,1,8,10,5,118,4,1,37,1,45,1,1,1,1
"158",3,4,2,4,6,3,0,3,2,50,2,16,0,0,0,0
"159",2,9,1,7,9,2,38,4,1,34,1,50,1,1,1,1
"160",2,8,2,7,7,3,208,3,1,44,1,38,0,1,1,1
"161",2,9,1,8,9,3,35,3,1,46,1,40,1,1,1,1
"162",1,7,1,8,8,4,19,2,2,48,2,60,1,1,1,1
"163",3,8,2,4,10,3,17,4,1,87,2,48,1,1,0,0
"164",2,9,1,7,9,5,37,3,1,53,1,42,1,1,1,1
"165",2,8,1,10,10,3,168,3,1,43,1,43,1,1,1,1
"166",2,9,2,8,9,4,19,2,2,33,1,41,1,1,1,1
"167",2,8,1,8,9,3,74,3,2,58,1,30,1,1,1,1
"168",2,8,1,3,8,4,12,3,2,23,2,38,1,1,1,0
"169",2,8,2,5,7,3,17,3,1,66,2,45,0,1,1,0
"170",2,7,1,9,7,3,35,3,1,65,2,45,0,1,1,1
"171",3,6,2,4,6,5,46,3,2,51,1,70,0,0,0,0
"172",2,9,1,8,9,6,47,2,1,51,1,38,1,1,1,1
"173",2,8,1,7,8,1,35,3,1,60,2,43,1,1,1,1
"174",1,10,1,6,10,5,24,4,1,66,2,35,1,1,1,1
"175",3,9,1,5,9,6,74,3,1,19,2,32,1,1,0,0
"176",2,8,1,8,8,3,36,3,1,57,2,45,1,1,1,1
"177",1,9,1,8,9,4,37,4,1,58,2,55,1,1,1,1
"178",2,9,1,9,9,1,76,4,1,68,2,44,1,1,1,1
"179",3,8,1,8,8,4,149,3,1,28,2,43,1,1,0,1
"180",3,8,2,8,8,3,139,3,1,67,2,55,1,1,0,1
"181",1,8,1,5,8,2,36,3,1,48,1,40,1,1,1,0
"182",2,8,1,5,9,4,17,3,2,68,2,45,1,1,1,0
"183",4,9,1,9,8,4,0,3,2,15,2,2,1,1,0,1
"184",3,8,2,4,9,3,19,3,1,56,1,43,1,1,0,0
"185",1,8,2,5,9,3,35,2,1,71,2,20,1,1,1,0
"186",2,7,1,8,7,4,97,3,1,42,1,42,0,1,1,1
"187",2,5,2,7,5,2,12,2,3,69,1,50,0,0,1,1
"188",2,9,4,7,9,3,0,3,2,39,2,35,1,1,1,1
"189",2,10,1,9,10,3,19,4,1,63,2,40,1,1,1,1
"190",2,8,1,7,8,4,74,3,1,55,1,50,1,1,1,1
"191",4,6,5,9,8,3,17,3,1,33,2,38,1,0,0,1
"192",2,8,1,5,8,1,107,3,1,32,2,45,1,1,1,0
"193",2,8,1,7,8,4,35,2,2,42,1,43,1,1,1,1
"194",2,7,1,10,8,4,104,3,2,49,1,50,1,1,1,1
"195",1,9,2,3,9,1,52,4,1,53,1,50,1,1,1,0
"196",2,10,2,2,10,4,12,3,2,86,2,20,1,1,1,0
"197",2,8,1,7,8,5,12,3,1,35,1,38,1,1,1,1
"198",4,8,5,NA,9,6,0,3,1,24,2,40,1,1,0,0
"199",3,7,1,6,9,3,38,3,1,16,2,2,1,1,0,1
"200",2,7,1,9,8,3,17,3,1,50,1,42,1,1,1,1
"201",1,10,1,10,10,3,17,4,1,54,2,40,1,1,1,1
"202",3,7,2,5,6,4,0,1,2,60,2,10,0,1,0,0
"203",2,8,1,7,8,2,0,4,1,23,2,0,1,1,1,1
